,realtime,%cpu,rchar,wchar,syscr,syscw,read_bytes,write_bytes,%mem,vmem,rss,peak_vmem,peak_rss,vol_ctxt,inv_ctxt,scheme,samples,threads,type,iter,size_bytes
0,254714,16463,117261151481,92068200966,12014445,2821707,20956160,0,0,33693184,921740,33902664,921740,608997,5955691,enteritidis_v1.0.7,96,16,multiple,1,96
1,194451,2967,5294021950,4363150182,595114,476897,33693696,2613248,6,9081096,1691488,9196388,1729740,124668,19804,enteritidis_v1.0.7,1,4,snippy,1,278310884
2,32065,1367,1196523488,929762999,122716,28508,20697088,0,0,2392860,69712,2407628,70104,41924,23972,enteritidis_v1.0.7,1,1,single,8,257012787
3,248516,1781,4407836285,3817810257,528186,423290,33693696,2494464,6,8916344,1567660,9002448,1620880,119820,9708,enteritidis_v1.0.7,1,2,snippy,1,151868003
4,20675,1448,803832734,665249416,86501,20404,20697088,0,0,2393264,69748,2407628,70144,32667,2917,enteritidis_v1.0.7,1,1,single,3,128835636
5,342125,1776,5649142051,4772435008,651218,517935,33728512,3031040,7,8850804,1876324,8983380,1914236,129343,14287,enteritidis_v1.0.7,1,2,snippy,1,265953442
6,387669,1899,4033921263,3262734719,455923,423733,33728512,2355200,4,8833524,1107472,8900564,1132084,85009,12593,enteritidis_v1.0.7,1,2,snippy,1,346541347
7,88444,6440,5840483012,4436552482,612872,485811,33693696,10207232,11,10069636,2935628,10170436,2945148,118538,1344,enteritidis_v1.0.7,1,32,snippy,1,250503194
8,29004,1475,1196523489,929762999,122732,28508,20697088,0,0,2387256,69820,2407628,70212,41730,8214,enteritidis_v1.0.7,1,1,single,9,257012787
9,32363,1493,1490836615,1145404768,151440,35115,20697088,0,0,2396388,69928,2407628,70324,52264,5562,enteritidis_v1.0.7,1,1,single,1,335684179
10,34952,1257,1198872125,943622189,124074,28934,20697088,0,0,2382356,69620,2407624,70012,45176,36639,enteritidis_v1.0.7,1,1,single,10,245502220
11,135832,4113,5739542260,4773807960,654037,514960,33693696,3624960,8,9476144,1956840,9540484,1990848,121043,9675,enteritidis_v1.0.7,1,8,snippy,1,249285523
12,37921,1377,1524258992,1180285125,155659,36184,20716544,0,0,2396976,69824,2407624,70216,43137,28035,enteritidis_v1.0.7,1,1,single,10,334226197
13,192677,4393,6216610951,5083622557,688229,556382,33693696,3657728,7,9345076,1865672,9474952,1903000,145563,56574,enteritidis_v1.0.7,1,8,snippy,1,335684179
14,21435,1613,1112890158,866665433,114366,26575,20697088,0,0,1989632,69784,2407628,70180,38526,1205,enteritidis_v1.0.7,1,1,single,4,236476990
15,22265,1337,720102553,583899710,76499,17913,20697088,0,0,2394236,69828,2407624,70220,32992,17207,enteritidis_v1.0.7,1,1,single,4,126454186
16,47076,1337,1808364689,1357624935,180586,41617,20697088,0,0,2391704,69968,2407632,70348,56239,34601,enteritidis_v1.0.7,1,1,single,5,440992030
17,31829,1186,896554084,734938383,95707,22540,20697088,0,0,2390140,69680,2407624,70076,36159,34222,enteritidis_v1.0.7,1,1,single,3,151868003
18,90219,1408,4042994499,3121708466,410339,95664,20697088,0,0,2385184,69392,2407628,69768,132262,37016,enteritidis_v1.0.7,1,1,single,10,911538626
19,28806,1327,996364370,782351360,103109,23993,20697088,0,0,2390008,70300,2407632,70696,38338,27064,enteritidis_v1.0.7,1,1,single,9,204265322
20,249635,16612,117261151479,92068200966,12014967,2821707,20936704,0,0,33693168,916896,33911300,916896,676444,5513315,enteritidis_v1.0.7,96,16,multiple,4,96
