sample	scheme	scheme_version	subtype	all_subtypes	kmers_matching_subtype	are_subtypes_consistent	inconsistent_subtypes	n_kmers_matching_all	n_kmers_matching_all_expected	n_kmers_matching_positive	n_kmers_matching_positive_expected	n_kmers_matching_subtype	n_kmers_matching_subtype_expected	file_path	avg_kmer_coverage	qc_status	qc_message
SRR3028740	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028740_1.fastq.gz', 'SRR3028740_2.fastq.gz']"	70.948	PASS	
SRR3028745	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028745_1.fastq.gz', 'SRR3028745_2.fastq.gz']"	52.406	PASS	
SRR3028746	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028746_1.fastq.gz', 'SRR3028746_2.fastq.gz']"	103.761	PASS	
SRR3028748	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028748_1.fastq.gz', 'SRR3028748_2.fastq.gz']"	50.794	PASS	
SRR3028749	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028749_1.fastq.gz', 'SRR3028749_2.fastq.gz']"	44.668	PASS	
SRR3028764	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028764_1.fastq.gz', 'SRR3028764_2.fastq.gz']"	91.407	PASS	
SRR3028736	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028736_1.fastq.gz', 'SRR3028736_2.fastq.gz']"	87.348	PASS	
SRR3028737	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028737_1.fastq.gz', 'SRR3028737_2.fastq.gz']"	60.898	PASS	
SRR3028738	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028738_1.fastq.gz', 'SRR3028738_2.fastq.gz']"	58.895	PASS	
SRR3028739	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028739_1.fastq.gz', 'SRR3028739_2.fastq.gz']"	122.521	PASS	
SRR3028741	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028741_1.fastq.gz', 'SRR3028741_2.fastq.gz']"	42.7	PASS	
SRR3028742	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028742_1.fastq.gz', 'SRR3028742_2.fastq.gz']"	64.586	PASS	
SRR3028743	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028743_1.fastq.gz', 'SRR3028743_2.fastq.gz']"	59.113	PASS	
SRR3028744	heidelberg	0.5.0	2.2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.2; 2.2.2.2.1; 2.2.2.2.1.2	2.2.2.2.1.2	TRUE		202	202	18	18	4	4	"['SRR3028744_1.fastq.gz', 'SRR3028744_2.fastq.gz']"	59.58	PASS	
SRR3028747	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028747_1.fastq.gz', 'SRR3028747_2.fastq.gz']"	56.338	PASS	
SRR3028750	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028750_1.fastq.gz', 'SRR3028750_2.fastq.gz']"	54.335	PASS	
SRR3028751	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028751_1.fastq.gz', 'SRR3028751_2.fastq.gz']"	64.175	PASS	
SRR3028752	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028752_1.fastq.gz', 'SRR3028752_2.fastq.gz']"	68.154	PASS	
SRR3028753	heidelberg	0.5.0	2.2.1.1	2; 2.2; 2.2.1; 2.2.1.1	2.2.1.1	TRUE		202	202	14	14	4	4	"['SRR3028753_1.fastq.gz', 'SRR3028753_2.fastq.gz']"	53.383	PASS	
SRR3028754	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028754_1.fastq.gz', 'SRR3028754_2.fastq.gz']"	54.928	PASS	
SRR3028755	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028755_1.fastq.gz', 'SRR3028755_2.fastq.gz']"	98.419	PASS	
SRR3028756	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028756_1.fastq.gz', 'SRR3028756_2.fastq.gz']"	97.287	PASS	
SRR3028757	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028757_1.fastq.gz', 'SRR3028757_2.fastq.gz']"	106.059	PASS	
SRR3028758	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028758_1.fastq.gz', 'SRR3028758_2.fastq.gz']"	115.869	PASS	
SRR3028759	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028759_1.fastq.gz', 'SRR3028759_2.fastq.gz']"	95.461	PASS	
SRR3028760	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028760_1.fastq.gz', 'SRR3028760_2.fastq.gz']"	102.462	PASS	
SRR3028761	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028761_1.fastq.gz', 'SRR3028761_2.fastq.gz']"	68.766	PASS	
SRR3028762	heidelberg	0.5.0	2.2.2.1.2	2; 2.2; 2.2.2; 2.2.2.1; 2.2.2.1.2	2.2.2.1.2	TRUE		202	202	16	16	4	4	"['SRR3028762_1.fastq.gz', 'SRR3028762_2.fastq.gz']"	61.573	PASS	
