250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
ERR1797558	ERR1251772	ERR034167	ERR034167
ERR2204163	ERR2204165	ERR1251772	ERR1251772
ERR2204171	ERR2204169	ERR1797558	ERR1797558
ERR2204173	ERR2204172	ERR2204163	ERR2204163
ERR2204193	ERR2204173	ERR2204169	ERR2204165
SRR1021809	ERR2204181	ERR2204171	ERR2204169
SRR1060531	ERR2204182	ERR2204172	ERR2204171
SRR1106580	ERR2204183	ERR2204173	ERR2204172
SRR1166610	ERR2204185	ERR2204175	ERR2204173
SRR1177316	ERR2204186	ERR2204181	ERR2204175
SRR1177618	ERR2204189	ERR2204183	ERR2204181
SRR1181521	ERR2204190	ERR2204185	ERR2204182
SRR1181559	ERR2204192	ERR2204186	ERR2204183
SRR1185819	ERR2204193	ERR2204189	ERR2204185
SRR1200625	ERR2204194	ERR2204190	ERR2204186
SRR1200627	ERR405476	ERR2204192	ERR2204189
SRR1200630	SRR1002841	ERR2204194	ERR2204190
SRR1200638	SRR1002850	ERR2204196	ERR2204192
SRR1200643	SRR1023860	SRR1002841	ERR2204193
SRR1200759	SRR1089523	SRR1002850	ERR2204194
SRR1201357	SRR1106485	SRR1021809	ERR2204196
SRR1258629	SRR1122498	SRR1021811	ERR405476
SRR1272805	SRR1122726	SRR1023860	SRR1002841
SRR1272911	SRR1166602	SRR1060537	SRR1002850
SRR1292245	SRR1166636	SRR1060671	SRR1021809
SRR1292267	SRR1181559	SRR1060742	SRR1021811
SRR1300605	SRR1195631	SRR1089523	SRR1023860
SRR1300613	SRR1195642	SRR1106240	SRR1029578
SRR1333872	SRR1195684	SRR1106485	SRR1060531
SRR1333880	SRR1195693	SRR1106563	SRR1060537
SRR1363289	SRR1198930	SRR1122497	SRR1060671
SRR1363345	SRR1200615	SRR1122498	SRR1060672
SRR1521527	SRR1200627	SRR1122499	SRR1060742
SRR1528486	SRR1200635	SRR1122511	SRR1089523
SRR1528510	SRR1200638	SRR1122701	SRR1106240
SRR1534888	SRR1200643	SRR1122726	SRR1106261
SRR1544283	SRR1200650	SRR1122727	SRR1106485
SRR1569605	SRR1200759	SRR1158082	SRR1106562
SRR1569646	SRR1201357	SRR1166602	SRR1106563
SRR1569664	SRR1206097	SRR1166610	SRR1106580
SRR1573176	SRR1248950	SRR1166636	SRR1122497
