250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
DRR106909	DRR106909	DRR106827	DRR106827
ERR044702	DRR106918	DRR106843	DRR106843
ERR044736	ERR034149	DRR106851	DRR106851
ERR1040533	ERR034162	DRR106900	DRR106875
ERR1040553	ERR044702	DRR106909	DRR106900
ERR1040586	ERR1040504	DRR106918	DRR106909
ERR1251534	ERR1040533	DRR106973	DRR106918
ERR1251545	ERR1040581	DRR107077	DRR106973
ERR1251564	ERR1040613	ERR034149	DRR107077
ERR1251587	ERR1040633	ERR034162	ERR034149
ERR1540280	ERR1040687	ERR044736	ERR034162
ERR1540410	ERR1040692	ERR1010058	ERR044702
ERR1540448	ERR1040706	ERR1040485	ERR044736
ERR1540499	ERR1251376	ERR1040504	ERR1010058
ERR1540605	ERR1251452	ERR1040527	ERR1040485
ERR1540632	ERR1251505	ERR1040533	ERR1040504
ERR1556084	ERR1251534	ERR1040553	ERR1040527
ERR1556139	ERR1251545	ERR1040581	ERR1040533
ERR1590186	ERR1251581	ERR1040611	ERR1040553
ERR1592598	ERR1251587	ERR1040613	ERR1040581
ERR161395	ERR1251700	ERR1040637	ERR1040586
ERR161407	ERR1251750	ERR1251430	ERR1040596
ERR164811	ERR1334354	ERR1251452	ERR1040611
ERR170588	ERR1540500	ERR1251497	ERR1040613
ERR170642	ERR1540537	ERR1251499	ERR1040633
ERR1715256	ERR1540605	ERR1251505	ERR1040637
ERR1743713	ERR1556111	ERR1251534	ERR1040687
ERR1817331	ERR1556139	ERR1251545	ERR1040692
ERR2008159	ERR1556203	ERR1251565	ERR1040706
ERR2023525	ERR1590186	ERR1251581	ERR1251376
ERR2023560	ERR164821	ERR1251587	ERR1251430
ERR211874	ERR170588	ERR1251636	ERR1251452
ERR2202556	ERR170637	ERR1251680	ERR1251497
ERR2210554	ERR170642	ERR1334331	ERR1251499
ERR2210655	ERR1715256	ERR1334386	ERR1251505
ERR2719754	ERR1737336	ERR1334887	ERR1251534
ERR2729067	ERR1740464	ERR1513234	ERR1251545
ERR2729173	ERR1743653	ERR1540280	ERR1251559
ERR2759876	ERR1743676	ERR1540410	ERR1251564
ERR277224	ERR1817331	ERR1540499	ERR1251565
ERR341077	ERR1891159	ERR1540500	ERR1251581
ERR350361	ERR1891168	ERR1540537	ERR1251587
ERR405560	ERR2023560	ERR1540555	ERR1251636
ERR657369	ERR2023581	ERR1540632	ERR1251676
ERR660586	ERR2030252	ERR1556084	ERR1251680
ERR702382	ERR2030255	ERR1556111	ERR1251700
ERR702819	ERR2173685	ERR1556139	ERR1251742
ERR702848	ERR217410	ERR1590186	ERR1251750
ERR715545	ERR2193125	ERR1590207	ERR1334331
ERR775873	ERR2202523	ERR1592598	ERR1334354
ERR984780	ERR2210695	ERR161395	ERR1334386
ERR984921	ERR230384	ERR161407	ERR1334886
SRR1122729	ERR232511	ERR164811	ERR1334887
SRR1258597	ERR2728977	ERR170588	ERR1513234
SRR1292325	ERR2729021	ERR1740464	ERR1540280
SRR1299427	ERR2729031	ERR1743653	ERR1540293
SRR1299430	ERR2729067	ERR1743676	ERR1540410
SRR1411146	ERR2729154	ERR1743713	ERR1540448
SRR1503240	ERR277224	ERR1818146	ERR1540499
SRR1569610	ERR279240	ERR1823828	ERR1540500
SRR1573187	ERR304818	ERR1856079	ERR1540537
SRR1573564	ERR341106	ERR1891159	ERR1540555
SRR1617361	ERR350280	ERR1891168	ERR1540585
SRR1645837	ERR350361	ERR2023525	ERR1540605
SRR1646152	ERR405560	ERR2023560	ERR1540632
SRR1774093	ERR405584	ERR2023581	ERR1556084
SRR1814898	ERR405680	ERR2030252	ERR1556111
SRR1814899	ERR657369	ERR2030255	ERR1556139
SRR1816458	ERR702376	ERR211851	ERR1556203
SRR1822313	ERR702697	ERR211855	ERR1590186
