Sample Accession	Sample Name	Strain	File Name	biohansel Subtype (Typhi Scheme V1.2)	QC	Wong and coll. Typhi Paper Subtype	Counts in this subtype out of 7258
ERR204260	ERS163602	MDUST89	ERR204260.fasta	2.3.6.2.2	PASS	Typhi_4.2.2	84
ERR331229	ERS223252	A235	ERR331229.fasta	2.3	PASS	Typhi_3.0.0	170
ERR357477	ERS326444	MDUST344	ERR357477.fasta	2.3.6.2.1	PASS	Typhi_4.2.1	46
ERR343304	ERS248970	ERL102461	ERR343304.fasta	2.3.5.4	PASS	Typhi_3.5.4	154
ERR357648	ERS325261	dtc5	ERR357648.fasta	2.3.2.1	PASS	Typhi_3.2.1	181
ERR352255	ERS326215	MDUST115	ERR352255.fasta	2.1.7	PASS	Typhi_2.1.7	107
ERR331361	ERS223570	UX309	ERR331361.fasta	2.3.4	PASS	Typhi_3.4.0	60
ERR326649	ERS223466	A385	ERR326649.fasta	2.3.6.1	PASS	Typhi_4.1.0	251
ERR422772	ERS362848	H10116 0098	ERR422772.fasta	2.3.3	PASS	Typhi_3.3.0	266
ERR357762	ERS326237	MDUST137	ERR357762.fasta	2.3.3.1	PASS	Typhi_3.3.1	97
ERR360675	ERS330870	06-1513	ERR360675.fasta	2.3.1.1	PASS	Typhi_3.1.1	346
ERR338051	ERS223395	A105	ERR338051.fasta	2.3.1.2	PASS	Typhi_3.1.2	43
ERR360458	ERS329526	3484	ERR360458.fasta	2.3.6.3	PASS	Typhi_4.3.1	3603
