strain	SRR3028749	SRR3028788	SRR3028753	SRR3028746	SRR3028747	SRR3028748	SRR3028750	SRR3028751	SRR3028752	SRR3028789	reference	SRR3028790	SRR3028791	SRR3028742	SRR3028792	SRR3028737	SRR3028745	SRR3028786	SRR3028736	SRR3028738	SRR3028739	SRR3028740	SRR3028741	SRR3028743	SRR3028744	SRR3028785	SRR3028782	SRR3028783	SRR3028784	SRR3028787	SRR3028794	SRR3028754	SRR3028763	SRR3028765	SRR3028767	SRR3028770	SRR3028755	SRR3028756	SRR3028757	SRR3028758	SRR3028759	SRR3028760	SRR3028761	SRR3028762	SRR3028764	SRR3028766	SRR3028768	SRR3028769	SRR3028771	SRR3028772	SRR3028773	SRR3028774	SRR3028775	SRR3028776	SRR3028777	SRR3028778	SRR3028779	SRR3028780	SRR3028781	SRR3028793
SRR3028749	0	99	2	1	1	1	1	1	1	9	97	5	5	86	85	84	84	84	83	83	83	83	83	83	83	81	80	79	77	81	76	74	74	74	74	74	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	71
SRR3028788	99	0	99	98	98	98	98	98	98	98	36	96	94	91	90	89	89	89	88	88	88	88	88	88	88	86	85	84	82	66	81	79	79	79	79	79	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	76
SRR3028753	2	99	0	1	1	1	1	1	1	9	97	5	5	86	85	84	84	84	83	83	83	83	83	83	83	81	80	79	77	81	76	74	74	74	74	74	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	73	71
SRR3028746	1	98	1	0	0	0	0	0	0	8	96	4	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
SRR3028747	1	98	1	0	0	0	0	0	0	8	96	4	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
SRR3028748	1	98	1	0	0	0	0	0	0	8	96	4	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
SRR3028750	1	98	1	0	0	0	0	0	0	8	96	4	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
SRR3028751	1	98	1	0	0	0	0	0	0	8	96	4	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
SRR3028752	1	98	1	0	0	0	0	0	0	8	96	4	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
SRR3028789	9	98	9	8	8	8	8	8	8	0	96	6	4	85	84	83	83	83	82	82	82	82	82	82	82	80	79	78	76	80	75	73	73	73	73	73	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	70
reference	97	36	97	96	96	96	96	96	96	96	0	94	92	91	90	89	89	89	88	88	88	88	88	88	88	86	85	84	82	66	81	79	79	79	79	79	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	78	76
SRR3028790	5	96	5	4	4	4	4	4	4	6	94	0	2	83	82	81	81	81	80	80	80	80	80	80	80	78	77	76	74	78	73	71	71	71	71	71	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	68
SRR3028791	5	94	5	4	4	4	4	4	4	4	92	2	0	81	80	79	79	79	78	78	78	78	78	78	78	76	75	74	72	76	71	69	69	69	69	69	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	68	66
SRR3028742	86	91	86	85	85	85	85	85	85	85	91	83	81	0	77	2	4	76	3	3	3	3	3	3	3	73	14	13	11	73	60	58	58	58	58	58	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	57	55
SRR3028792	85	90	85	84	84	84	84	84	84	84	90	82	80	77	0	75	75	39	74	74	74	74	74	74	74	36	71	70	68	72	67	65	65	65	65	65	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	64	62
SRR3028737	84	89	84	83	83	83	83	83	83	83	89	81	79	2	75	0	2	74	1	1	1	1	1	1	1	71	12	11	9	71	58	56	56	56	56	56	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	53
SRR3028745	84	89	84	83	83	83	83	83	83	83	89	81	79	4	75	2	0	74	1	1	1	1	1	1	1	71	12	11	9	71	58	56	56	56	56	56	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	53
SRR3028786	84	89	84	83	83	83	83	83	83	83	89	81	79	76	39	74	74	0	73	73	73	73	73	73	73	35	70	69	67	71	66	64	64	64	64	64	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	61
SRR3028736	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028738	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028739	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028740	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028741	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028743	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028744	83	88	83	82	82	82	82	82	82	82	88	80	78	3	74	1	1	73	0	0	0	0	0	0	0	70	11	10	8	70	57	55	55	55	55	55	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	52
SRR3028785	81	86	81	80	80	80	80	80	80	80	86	78	76	73	36	71	71	35	70	70	70	70	70	70	70	0	67	66	64	68	63	61	61	61	61	61	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	58
SRR3028782	80	85	80	79	79	79	79	79	79	79	85	77	75	14	71	12	12	70	11	11	11	11	11	11	11	67	0	7	5	67	54	52	52	52	52	52	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	49
SRR3028783	79	84	79	78	78	78	78	78	78	78	84	76	74	13	70	11	11	69	10	10	10	10	10	10	10	66	7	0	4	66	53	51	51	51	51	51	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	48
SRR3028784	77	82	77	76	76	76	76	76	76	76	82	74	72	11	68	9	9	67	8	8	8	8	8	8	8	64	5	4	0	64	51	49	49	49	49	49	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	46
SRR3028787	81	66	81	80	80	80	80	80	80	80	66	78	76	73	72	71	71	71	70	70	70	70	70	70	70	68	67	66	64	0	63	61	61	61	61	61	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	58
SRR3028794	76	81	76	75	75	75	75	75	75	75	81	73	71	60	67	58	58	66	57	57	57	57	57	57	57	63	54	53	51	63	0	12	12	12	12	12	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	9
SRR3028754	74	79	74	73	73	73	73	73	73	73	79	71	69	58	65	56	56	64	55	55	55	55	55	55	55	61	52	51	49	61	12	0	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7
SRR3028763	74	79	74	73	73	73	73	73	73	73	79	71	69	58	65	56	56	64	55	55	55	55	55	55	55	61	52	51	49	61	12	2	0	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7
SRR3028765	74	79	74	73	73	73	73	73	73	73	79	71	69	58	65	56	56	64	55	55	55	55	55	55	55	61	52	51	49	61	12	2	2	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7
SRR3028767	74	79	74	73	73	73	73	73	73	73	79	71	69	58	65	56	56	64	55	55	55	55	55	55	55	61	52	51	49	61	12	2	2	2	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7
SRR3028770	74	79	74	73	73	73	73	73	73	73	79	71	69	58	65	56	56	64	55	55	55	55	55	55	55	61	52	51	49	61	12	2	2	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7
SRR3028755	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028756	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028757	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028758	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028759	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028760	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028761	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028762	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028764	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028766	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028768	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028769	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028771	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
SRR3028772	73	78	73	72	72	72	72	72	72	72	78	70	68	57	64	55	55	63	54	54	54	54	54	54	54	60	51	50	48	60	11	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
