Strain	Accession	Year	Continent	Region	Country	Source	Genotype	Source
A149	ERR331214	2006	Asia	Southeast Asia	Indonesia	Blood	2.1.1	"Wong et al, 2015 (global framework)"
A150	ERR331215	2006	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A153	ERR331216	2010	Asia	Southeast Asia	Indonesia	Blood	2.1.8	"Wong et al, 2015 (global framework)"
A154	ERR331217	2009	Asia	Southeast Asia	Indonesia	Blood	2.1.9	"Wong et al, 2015 (global framework)"
A155	ERR331218	2006	Asia	Southeast Asia	Indonesia	Blood	2.1.1	"Wong et al, 2015 (global framework)"
A156	ERR331219	2007	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A158	ERR331220	2009	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A160	ERR331221	2006	Asia	Southeast Asia	Indonesia	Blood	2.1.1	"Wong et al, 2015 (global framework)"
2008-003680	ERR331205	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A173	ERR331224	2009	Asia	Southeast Asia	Indonesia	Blood	2.1.9	"Wong et al, 2015 (global framework)"
A174	ERR331225	2011	Asia	Southeast Asia	Indonesia	Blood	2.1.3	"Wong et al, 2015 (global framework)"
A178	ERR331226	2009	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A180	ERR331227	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A235	ERR331229	2009	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A236	ERR331230	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A237	ERR331231	2010	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A238	ERR331232	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
01-2011-002432	ERR331206	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A239	ERR331233	2009	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
A240	ERR331234	2010	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A243	ERR331236	2011	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A244	ERR331237	2011	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A245	ERR331238	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A246	ERR331239	2010	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A247	ERR331240	2010	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A248	ERR331241	2009	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A249	ERR331242	2010	Asia	Southeast Asia	Indonesia	Blood	3.1.2	"Wong et al, 2015 (global framework)"
2007-019648	ERR331207	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A250	ERR331243	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A252	ERR331244	2011	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A253	ERR331245	2009	Asia	Southeast Asia	Indonesia	Blood	2.1.6	"Wong et al, 2015 (global framework)"
A255	ERR331247	2011	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A256	ERR331248	2010	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A257	ERR331249	2010	Asia	Southeast Asia	Indonesia	Blood	3.0.0	"Wong et al, 2015 (global framework)"
A258	ERR331250	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A259	ERR331251	2010	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A261	ERR331252	2009	Asia	Southeast Asia	Indonesia	Blood	2.1.6	"Wong et al, 2015 (global framework)"
2012-010389	ERR331208	2012	Asia	Southeast Asia	Cambodia	Blood	4.3.1	"Wong et al, 2015 (global framework)"
A262	ERR331253	2010	Asia	Southeast Asia	Indonesia	Blood	2.1.6	"Wong et al, 2015 (global framework)"
A263	ERR331254	2009	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A265	ERR331256	2010	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A266	ERR331257	2010	Asia	Southeast Asia	Indonesia	Blood	4.1.0	"Wong et al, 2015 (global framework)"
A267	ERR331258	2008	Asia	Southeast Asia	Indonesia	Blood	2.1.6	"Wong et al, 2015 (global framework)"
100949	ERR331260	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
102196	ERR331261	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
103643	ERR331262	2011	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
106774	ERR331263	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
107123	ERR331264	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.1	"Wong et al, 2015 (global framework)"
107364	ERR331265	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
108891	ERR331266	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
108910	ERR331267	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
109520	ERR331268	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
110829	ERR331269	2012	Australia & Oceania	Oceania 	Fiji	Unknown	4.2.2	"Wong et al, 2015 (global framework)"
