Sample Accession	Subtype SEv1.0.7	QC	counts in this subtype out of 29076
SRR5966300	2.2.2.2	PASS	1300
SRR6967974	2.2.4.1.2.1.3	PASS	927
SRR1822275	2.2.2.1.1.2	PASS	918
SRR5152090	2.2.2.1.1	PASS	890
SRR6898394	2.2.4.1.2.1.1	PASS	884
SRR6373492	2.1.5.4.1.3	PASS	834
SRR5868181	2.2.2.1.1.1	PASS	816
SRR6945306	2.2.2.1.2.1	PASS	778
SRR6900729	2	PASS	760
SRR3049191	2.2.4.1.2.1.2	PASS	730
SRR1813474	2.2.2.1.1.2.1	PASS	666
SRR6897709	2.2.4.1.2.1	PASS	647
SRR6922664	2.1.1.1	PASS	573
