sample	BioHansel subtype scheme Typhi_v1.2.0	avg_kmer_coverage	qc_status	qc_message	Corresponding Wong et al genotype for BioHansel subtype	Genotype reported in Wong et al publication for this accession ID	IF FAIL QC: Final BioHansel subtype with highest k-mer coverage in dataset (Wong et al. genotype code; coverage)	IF FAIL QC: Minor contaminant k-mer subtype in dataset causing mixed subtype QC call (Wong et al. genotype code; coverage)
ERR360622	0.1	40.134	PASS		Typhi_0.1.0	0.1.0		
ERR213263	0.1	175.452	PASS		Typhi_0.1.0	0.1.0		
ERR360619	0.1	43.214	PASS		Typhi_0.1.0	0.1.0		
ERR360516	0.1	38.171	PASS		Typhi_0.1.0	0.1.0		
ERR360484	0.1	36.391	PASS		Typhi_0.1.0	0.1.0		
ERR360676	0.1	42.015	PASS		Typhi_0.1.0	0.1.0		
ERR352473	0.2	46.377	PASS		Typhi_0.0.2	0.0.2		
ERR357775	0.2	38.42	PASS		Typhi_0.0.2	0.0.2		
ERR360657	0.4	43.794	PASS		Typhi_0.0.1	0.0.1		
ERR360655	0.4	36.87	PASS		Typhi_0.0.1	0.0.1		
ERR360627	1.1	43.043	PASS		Typhi_1.1.1	1.1.1		
ERR338035	1.2	54.901	PASS		Typhi_1.1.2	1.1.2		
ERR338008	1.2	42.918	PASS		Typhi_1.1.2	1.1.2		
ERR360695	1.3	43.056	PASS		Typhi_1.1.3	1.1.3		
ERR360511	1.3	37.088	PASS		Typhi_1.1.3	1.1.3		
ERR352453	1.4	47.882	PASS		Typhi_1.1.4	1.1.4		
ERR360503	2	36.623	PASS		Typhi_2.0.0	2.0.0		
ERR352462	2	43.324	PASS		Typhi_2.0.0	2.0.0		
ERR360656	2	48.75	PASS		Typhi_2.0.0	2.0.0		
ERR360499	2	37.853	PASS		Typhi_2.0.0	2.0.0		
ERR360455	2	40.029	PASS		Typhi_2.0.0	2.0.0		
ERR360462	2	40.809	PASS		Typhi_2.0.0	2.0.0		
ERR213264	2	128.932	PASS		Typhi_2.0.0	2.0.0		
ERR353338	2	45.269	PASS		Typhi_2.0.0	2.0.0		
ERR352460	2	49.941	PASS		Typhi_2.0.0	2.0.0		
ERR352459	2	43.304	PASS		Typhi_2.0.0	2.0.0		
