accession	snippy_bam_mean_depth	bases	estimated_raw_sequence_coverage	BioHansel_k-mer_coverage	sistr_serovar	coverage_enterobase
ERR1764733	59.07256276	290141250	64.47583333	41.817	Typhi	61
ERR1764845	60.62965621	297308750	66.06861111	44.145	Typhi	62
ERR360447	57.81570947	285869000	63.52644444	38.667	Typhi	60.47
ERR349530	59.01947209	288903400	64.20075556	39.603	Typhi	61.01
ERR331208	78.93614044	408648000	90.81066667	50.028	Typhi	82
ERR331282	88.34059854	439236000	97.608	57.284	Typhi	93
ERR360653	53.76337196	270956000	60.21244444	37	Typhi	57.07
ERR1010006	92.30331624	454122000	100.916	58.861	Typhi	95
ERR357620	63.22004884	311720200	69.27115556	43.529	Typhi	65.02
ERR1764695	80.66285766	393565500	87.459	59.029	Typhi	83
ERR1791820	72.69208867	355523250	79.00516667	53.618	Typhi	75
ERR1082824	143.4941754	708950750	157.5446111	101.736	Typhi	149
ERR360605	59.45510276	294738800	65.49751111	41.794	Typhi	62
ERR338006	71.80237062	352518600	78.33746667	47	Typhi	75
ERR1764669	70.01719242	340332250	75.62938889	51.435	Typhi	71
ERR586798	119.0443511	595878400	132.4174222	76.113	Typhi	124
ERR357759	62.12001904	309357800	68.74617778	41.324	Typhi	64.06
ERR331292	73.93696368	384909600	85.53546667	47.944	Typhi	79.48
ERR1837196	160.6430543	785801750	174.6226111	109.931	Typhi	166
ERR279098	81.02030802	398762800	88.61395556	55.557	Typhi	84.67
ERR1764540	64.94504596	317460250	70.54672222	47.412	Typhi	67
ERR1764801	65.26287883	317147750	70.47727778	47.186	Typhi	67
ERR1891533	48.11432705	240286750	53.39705556	34.884	Typhi	50
ERR460332	103.2376661	511266800	113.6148444	66.086	Typhi	106.09
ERR1791843	76.47627581	375744250	83.49872222	55.786	Typhi	79
ERR657444	120.9127256	597229600	132.7176889	79.167	Typhi	125.41
ERR331327	67.42388632	332649600	73.92213333	43.306	Typhi	71
ERR331333	74.52601425	372451000	82.76688889	50	Typhi	79
ERR1764815	64.06920242	311463000	69.214	48.209	Typhi	66
ERR338103	77.40960571	383236200	85.1636	48.959	Typhi	81.05
ERR1764722	63.4376398	310240250	68.94227778	43.957	Typhi	65
ERR331322	72.99092292	364855200	81.07893333	50.456	Typhi	76.84
ERR357591	64.21761321	326083600	72.46302222	43.261	Typhi	67
ERR1791847	70.75851132	346589500	77.01988889	50.232	Typhi	73
ERR485147	84.70196923	429803000	95.51177778	57.1	Typhi	87.62
ERR338004	76.4689704	378092000	84.02044444	50.529	Typhi	80
ERR1791842	67.17027692	328447250	72.98827778	49.441	Typhi	69
ERR2789239	196.2814873	977781250	217.2847222	133.306	Typhi	205
ERR460235	92.10083952	458314200	101.8476	58.361	Typhi	95.59
