sample	subtype	avg_kmer_coverage	qc_status	qc_message
SRR3028740	2.2.2.2.1.2	70.948	PASS	
SRR3028745	2.2.2.2.1.2	52.406	PASS	
SRR3028746	2.2.1.1	103.761	PASS	
SRR3028748	2.2.1.1	50.794	PASS	
SRR3028749	2.2.1.1	44.668	PASS	
SRR3028764	2.2.2.1.2	91.407	PASS	
SRR3028736	2.2.2.2.1.2	87.348	PASS	
SRR3028737	2.2.2.2.1.2	60.898	PASS	
SRR3028738	2.2.2.2.1.2	58.895	PASS	
SRR3028739	2.2.2.2.1.2	122.521	PASS	
SRR3028741	2.2.2.2.1.2	42.7	PASS	
SRR3028742	2.2.2.2.1.2	64.586	PASS	
SRR3028743	2.2.2.2.1.2	59.113	PASS	
SRR3028744	2.2.2.2.1.2	59.58	PASS	
SRR3028747	2.2.1.1	56.338	PASS	
SRR3028750	2.2.1.1	54.335	PASS	
SRR3028751	2.2.1.1	64.175	PASS	
SRR3028752	2.2.1.1	68.154	PASS	
SRR3028753	2.2.1.1	53.383	PASS	
SRR3028754	2.2.2.1.2	54.928	PASS	
SRR3028755	2.2.2.1.2	98.419	PASS	
SRR3028756	2.2.2.1.2	97.287	PASS	
SRR3028757	2.2.2.1.2	106.059	PASS	
SRR3028758	2.2.2.1.2	115.869	PASS	
SRR3028759	2.2.2.1.2	95.461	PASS	
SRR3028760	2.2.2.1.2	102.462	PASS	
SRR3028761	2.2.2.1.2	68.766	PASS	
SRR3028762	2.2.2.1.2	61.573	PASS	
SRR3028763	2.2.2.1.2	83.914	PASS	
SRR3028765	2.2.2.1.2	94.795	PASS	
SRR3028766	2.2.2.1.2	46.058	PASS	
SRR3028767	2.2.2.1.2	60.523	PASS	
SRR3028768	2.2.2.1.2	53.535	PASS	
SRR3028769	2.2.2.1.2	56.762	PASS	
SRR3028770	2.2.2.1.2	55.742	PASS	
SRR3028771	2.2.2.1.2	61.3	PASS	
SRR3028772	2.2.2.1.2	49.995	PASS	
SRR3028773	2.2.2.1.2	54.507	PASS	
SRR3028774	2.2.2.1.2	56.77	PASS	
SRR3028775	2.2.2.1.2	56.953	PASS	
SRR3028776	2.2.2.1.2	52.783	PASS	
SRR3028777	2.2.2.1.2	50.954	PASS	
SRR3028778	2.2.2.1.2	49.441	PASS	
SRR3028779	2.2.2.1.2	55.595	PASS	
SRR3028780	2.2.2.1.2	56.219	PASS	
SRR3028781	2.2.2.1.2	60.267	PASS	
SRR3028782	2.2.2.2.1.2	54.628	PASS	
SRR3028783	2.2.2.2.1.2	54.42	PASS	
SRR3028784	2.2.2.2.1.2	78.014	PASS	
SRR3028785	2.2.3.1.2	46.565	PASS	
SRR3028786	2.2.3.1.1	65.156	PASS	
SRR3028787	1	69.947	PASS	
SRR3028788	1.1	79.761	PASS	
SRR3028789	2.2.1.1	56.446	PASS	
SRR3028790	2.2.1.1	47.743	PASS	
SRR3028791	2.2.1.1	86.873	PASS	
SRR3028792	2.2.3.1	50.234	PASS	
SRR3028793	2.2.2.1.2	75.529	PASS	
SRR3028794	2.2.2.1.2	84.717	PASS	
