Sample Accession	Strain	File Name	biohansel Subtype (V0.5.0)	Counts in this subtype out of 3984* 
CP001120.1	SL476	GCA_000020705.1_ASM2070v1_genomic.fna	1.1	84
CP003416.1	B182	GCA_000258365.1_ASM25836v1_genomic.fna	2	11
CP005390.2	CFSAN002069	GCA_000430085.2_ASM43008v2_genomic.fna	2.2.2.2.1.1	97
CP004086.1	41578	GCA_000430105.1_ASM43010v1_genomic.fna	2.1.1.1	177
CP012921.1	SA02DT10168701	GCA_001441205.1_ASM144120v1_genomic.fna	2.2.3.1.2	17
CP012924.1	12-4374	GCA_001441225.1_ASM144122v1_genomic.fna	2.2.2.2.1.2	173
CP016510.1	SH14-028	GCA_001690035.1_ASM169003v1_genomic.fna	2.2.2.1.2	44
CP016517.1	CE-R2-11-0435	GCA_001690075.1_ASM169007v1_genomic.fna	2.2.3.1.4	19
CP016530.1	SA01AB09084001	GCA_001690095.1_ASM169009v1_genomic.fna	2.2.3.1	41
CP016521.1	SA02DT09004001	GCA_001690115.1_ASM169011v1_genomic.fna	2.2.2.2.2	32
CP016525.1	09-036813-1A	GCA_001690135.1_ASM169013v1_genomic.fna	2.2.3.3	12
CP016586.1	SH13-004	GCA_001692635.1_ASM169263v1_genomic.fna	2.2.1.1	89
CP031359.1	5	GCA_003971525.1_ASM397152v1_genomic.fna	2.2.2.2.1	254
				
"*Note that these subtypes were chosen because a closed genome was available, not because they were the most abundant"				
