Sample Accession	subtype STv0.5.5	QC	counts in this subtype out of 26377
SRR1248861	2.2.1.4	PASS	1670
SRR2407644	2.5.1	PASS	1616
SRR6217926	2.8.1.3.9.4.1	PASS	1487
ERR984817	2.2.4.1	PASS	1317
SRR7172554	2.8.1.3	PASS	1268
SRR2567009	2.1.2.1.1	PASS	1126
SRR5632913	2.1.2.1	PASS	989
SRR3286945	2.8	PASS	898
ERR217401	2.2.3.1.1	PASS	678
SRR5896190	2.3	PASS	666
SRR5341697	2	PASS	598
SRR7410320	2.1.2.1.2	PASS	565
SRR6366434	2.2.1.3	PASS	562
